159147|_|KEH00663013         |_|93|_|0|_|8.18
159147|_|KEH00680041         |_|108|_|0|_|6.82
159147|_|KEH01412956         |_|36|_|0|_|17.74
159147|_|KEH01970631         |_|12|_|0|_|7.19
159147|_|THRAC0406           |_|12|_|0|_|1.91
159147|_|THRAC0534           |_|36|_|0|_|5.43
159147|_|THRAC0547           |_|48|_|0|_|5.7
159147|_|THRAC0698           |_|12|_|0|_|7.67
159147|_|THRAE0104           |_|6|_|0|_|4.1
159147|_|THRAE0113           |_|24|_|0|_|3.53
159147|_|THRAL1148           |_|12|_|0|_|7.18
159147|_|THRBG0034           |_|24|_|0|_|23.2
159147|_|THRBN0003           |_|12|_|0|_|8.62
159147|_|THRBN0033           |_|444|_|0|_|8.62
159147|_|THRBV0027           |_|36|_|0|_|7.08
159147|_|THRBW0095           |_|12|_|0|_|5.26
159147|_|THRBW0178           |_|8|_|0|_|3.33
159147|_|THRBZ0013           |_|48|_|0|_|6.02
159147|_|THRBZ0017           |_|36|_|0|_|6.02
159147|_|THRBZ0023           |_|36|_|0|_|6.02
159147|_|THRCD1010           |_|48|_|0|_|6.24
159147|_|THRCF0011           |_|12|_|0|_|2.84
159147|_|THRCK0001           |_|192|_|0|_|6.12
159147|_|THRCO0052           |_|12|_|0|_|9
159147|_|THRCT0111           |_|24|_|0|_|7.43
159147|_|THRCX0008           |_|36|_|0|_|8
159147|_|THRDK0002           |_|6|_|0|_|8.21
159147|_|THRDK0003           |_|72|_|0|_|5.96
159147|_|THRDM0009           |_|48|_|0|_|7.45
159147|_|THRDM0010           |_|36|_|0|_|5.53
159147|_|THRDM0044           |_|30|_|0|_|9.58
159147|_|THRDS0005           |_|36|_|0|_|5.26
159147|_|THRDS0050           |_|6|_|0|_|5.26
159147|_|THRDV0006           |_|60|_|0|_|13.69
159147|_|THREF0079           |_|12|_|0|_|8.8
159147|_|THREH0087           |_|72|_|0|_|4.24
159147|_|THREI0008           |_|12|_|0|_|9.59
159147|_|THREI0010           |_|24|_|0|_|9.59
159147|_|THREI0027           |_|72|_|0|_|9.59
159147|_|THREI0033           |_|12|_|0|_|9.59
